"X1986"	"X1987"	"X1988"	"X1989"	"X1990"	"X1991"	"X1992"	"X1993"	"X1994"	"X1995"	"X1996"	"X1997"	"X1998"	"X1999"	"X2000"	"X2001"	"X2002"	"X2003"	"X2004"	"X2005"	"X2006"	"X2007"
"65"	-32.7	-34.2	NA	NA	-31	-31.2	-29.93	-34.22	-31.35	NA	NA	-28.71	-27.98	-32.11	-35.89	-33.51	-33.81	-26.78	-27.72	-30.13	-33.19	-32.77
"66"	-37.5	-36.4	NA	NA	-25.8	-31.1	-25.84	-28.97	-34.45	NA	NA	-28.15	-30.84	-28.02	-33.03	-34.96	-31.66	-32.8	-26.46	-24.69	-35.85	-32.21
"67"	-36.6	-35.7	NA	NA	-25.4	-25	-28.57	-27.81	-36.92	NA	NA	-31.92	-32.03	-23.73	-33.65	-34.55	-34.61	-33.04	-30.74	-23.6	-34.24	-32.02
"68"	-35	-34.4	NA	NA	-30	-22.5	-32.52	-29.41	-36.01	NA	NA	-28.53	-31.98	-22.38	-29.75	-32.13	-32.81	-31.7	-33.14	-22.16	-32.43	-28.23
"69"	-40.3	-32.7	NA	NA	-31.4	-19.1	-33.68	-31.31	-33.2	NA	NA	-32	-32.23	-27.63	-31.31	-35.99	-29.56	-33.27	-33.84	-21.64	-33.74	-32.8
"70"	-39.6	-32.4	NA	NA	-33.5	-20.3	-29	-32.73	-31.52	NA	NA	-30.18	-33.87	-23.91	-27.52	-34.63	-33.39	-35.4	-33.57	-21.52	-31	-33.09
"71"	-38.9	-27.8	NA	NA	-34	-21.7	-16.85	-31.15	-30.43	NA	NA	-33.11	-34.91	-24.07	-30.59	-31.08	-31.68	-35.71	-34.53	-24.6	-31.88	-32.12
"72"	-36.6	-18.4	NA	NA	-32.1	-21.9	-22.68	-31.89	-29.56	NA	NA	-34.32	-34.6	-23.61	-31.39	-30.77	-28.83	-29.12	-31.18	-20.03	-36.35	-31.56
"73"	-31.7	-21.7	NA	NA	-32.7	-24.8	-27.56	-31.53	-27.81	NA	NA	-34.4	-35.9	-24.34	-32.11	-32	-33.18	-20.4	-30.38	-18.09	-37.34	-30.18
"74"	-34.6	-27.7	NA	NA	-29	-30.2	-29.31	-34.42	-22.64	NA	NA	-32.54	-33.67	-26.41	-30.09	-29.58	-32.66	-22.77	-31.47	-21.1	-36.74	-29.54
"75"	-35.4	-29.4	NA	NA	-30.3	-29.2	-29.17	-32.34	-22.19	NA	NA	-31.95	-34.23	-26.96	-25.87	-27.26	-30.13	-26.78	-34.37	-25.63	-38.24	-21.79
"76"	-34.2	-29.8	NA	NA	-31.2	-29.5	-29.31	-29.52	-24.22	NA	NA	-28.4	-30.33	-29.44	-28.79	-28.76	-31.49	-22.01	-33.26	-23.59	-37.44	-26.13
"77"	-32.2	-31.2	NA	NA	-33.8	-30.9	-27.23	-33.63	-28.71	NA	NA	-26.53	-29.77	-26.4	-33.34	-32.01	-30.21	-27.12	-31.57	-23.35	-33.58	-28.29
